TeamName,PlayerName,Position
Ryan,Shea Langeliers,C
Ryan,Vlad Guerrero,1B
Ryan,Nolan Gorman,2B
Ryan,Corey Seager,SS
Ryan,Matt Chapman,3B
Ryan,Kyle Schwarber,OF
Ryan,James Wood,OF
Ryan,Taylor Ward,OF
Ryan,Wyatt Langford,DH
Ryan,Isaac Paredes,Bench
Aaron,Ben Rice,C
Aaron,Munetaka Murakami,1B
Aaron,Brice Turang ,2B
Aaron,Willy Adames,SS
Aaron,Austin Riley,3B
Aaron,Juan Soto,OF
Aaron,Kyle Tucker,OF
Aaron,Brent Rooker,OF
Aaron,Giancarlo Stanton,DH
Aaron,Alec Bohm,Bench
Jake,Salvador Perez,C
Jake,Pete Alonso,1B
Jake,Kody Clemens,2B
Jake,Francisco Lindor,SS
Jake,Addison Barger,3B
Jake,Riley Greene,OF
Jake,Trent Grisham,OF
Jake,Christian Yelich,OF
Jake,Rafael Devers,DH
Jake,Yandy Diaz,Bench
James,Francisco Alvarez,C
James,Jake Burger,1B
James,Brandon Lowe,2B
James,Gunnar Henderson,SS
James,Jose Ramirez,3B
James,Aaron Judge,OF
James,Matt Wallner,OF
James,Jac Caglianone,OF
James,Samuel Basallo,DH
James,Bryce Eldridge,Bench
Sutter,Cal Raleigh,C
Sutter,Bryce Harper,1B
Sutter,Jazz Chisholm Jr. ,2B
Sutter,Trevor Story,SS
Sutter,Manny Machado,3B
Sutter,Byron Buxton,OF
Sutter,Teoscar Hernandez,OF
Sutter,Adolis Garcia,OF
Sutter,Oneil Cruz,DH
Sutter,Freddie Freeman,Bench
Burton,Will Smith,C
Burton,Spencer Torkelson,1B
Burton,Ketel Marte,2B
Burton,Bobby Witt,SS
Burton,Bo Bichette,3B
Burton,Ronald Acuna,OF
Burton,Pete Crow-Armstrong,OF
Burton,Roman Anthony,OF
Burton,Cody Bellinger,DH
Burton,Carlos Correa,Bench
Brad,Adley Rutschman,C
Brad,Vinnie Pasquantino,1B
Brad,Gleyber Torres,2B
Brad,Mookie Betts,SS
Brad,Alex Bregman,3B
Brad,Yordan Alvarez,OF
Brad,Jo Adell,OF
Brad,George Springer,OF
Brad,Jorge Polanco,DH
Brad,Cam Smith,Bench
Chapa,William Contreras ,C
Chapa,Christian Walker,1B
Chapa,Jose Altuve,2B
Chapa,Elly De La Cruz,SS
Chapa,Nolan Arenado,3B
Chapa,Fernando Tatis Jr.,OF
Chapa,Jackson Merrill,OF
Chapa,Seiya Suzuki,OF
Chapa,Shohei Ohtani,DH
Chapa,Brice Matthews,Bench
Jonathan,Yainer Diaz,C
Jonathan,Matt Olson,1B
Jonathan,Jackson Holliday,2B
Jonathan,Dansby Swanson,SS
Jonathan,Junior Caminero,3B
Jonathan,Corbin Carroll,OF
Jonathan,Julio Rodriguez,OF
Jonathan,Mike Trout,OF
Jonathan,Ian Happ,DH
Jonathan,Jeremy Pena,Bench
Drew,Hunter Goodman,C
Drew,Nick Kurtz,1B
Drew,Lenyn Sosa,2B
Drew,Zach Neto,SS
Drew,Eugenio Suarez,3B
Drew,Daulton Varsho,OF
Drew,Andy Page,OF
Drew,Brandon Nimmo,OF
Drew,Kyle Manzardo,DH
Drew,Lawrence Butler,Bench